year,quarter,geo_type,geo_name,geo_pname,hover_over,reg_users,app_opens
2021,2,STA,lakshadweep,india,CON,4896,40301
2021,2,STA,manipur,india,CON,335409,7269002
2021,2,STA,maharashtra,india,CON,39664697,1208083592
2021,2,STA,dadra & nagar haveli & daman & diu,india,CON,344994,5062983
2021,2,STA,meghalaya,india,CON,205686,7290804
2021,2,STA,andaman & nicobar islands,india,CON,62095,2248223
2021,2,STA,haryana,india,CON,10530594,234052506
2021,2,STA,rajasthan,india,CON,18980985,1072091232
2021,2,STA,ladakh,india,CON,75048,4391632
2021,2,STA,punjab,india,CON,5976548,85894089
2021,2,STA,assam,india,CON,3617056,102003890
2021,2,STA,jharkhand,india,CON,5701503,184234107
2021,2,STA,odisha,india,CON,9891029,367576494
2021,2,STA,bihar,india,CON,14972134,371198660
2021,2,STA,kerala,india,CON,7416083,87814415
2021,2,STA,karnataka,india,CON,25751023,1051089714
2021,2,STA,chandigarh,india,CON,448572,4733924
2021,2,STA,telangana,india,CON,18306880,905317692
2021,2,STA,himachal pradesh,india,CON,1743151,43269977
2021,2,STA,west bengal,india,CON,17979979,275341466
2021,2,STA,gujarat,india,CON,15735981,282432543
2021,2,STA,sikkim,india,CON,171740,4541121
