year,quarter,geo_type,geo_name,geo_pname,hover_over,stat_type,count,amount
2020,2,STA,telangana,india,CON,TOTAL,152055143,321531839352.4224
2020,2,STA,himachal pradesh,india,CON,TOTAL,4695730,8036904762.544065
2020,2,STA,west bengal,india,CON,TOTAL,57676797,100099431877.3575
2020,2,STA,gujarat,india,CON,TOTAL,47420185,80387846359.49455
2020,2,STA,sikkim,india,CON,TOTAL,517731,1054618788.261265
2020,2,STA,nagaland,india,CON,TOTAL,517566,1137674504.347801
2020,2,STA,mizoram,india,CON,TOTAL,198462,457193433.4423174
2020,2,STA,chhattisgarh,india,CON,TOTAL,18820925,32268382206.90089
2020,2,STA,jammu & kashmir,india,CON,TOTAL,2635006,8265648939.258666
2020,2,STA,goa,india,CON,TOTAL,1482092,2183616430.016773
2020,2,STA,arunachal pradesh,india,CON,TOTAL,808774,1826716832.9849598
2020,2,STA,delhi,india,CON,TOTAL,66042018,107873438203.33159
2020,2,STA,uttarakhand,india,CON,TOTAL,9047770,16094187702.10098
2020,3,STA,puducherry,india,CON,TOTAL,1730902,3598080229.434597
2020,3,STA,tamil nadu,india,CON,TOTAL,70277825,143841415498.6574
2020,3,STA,uttar pradesh,india,CON,TOTAL,127405259,248689955423.0532
2020,3,STA,madhya pradesh,india,CON,TOTAL,108579881,205701679984.53754
2020,3,STA,andhra pradesh,india,CON,TOTAL,204902935,467084130584.9388
2020,3,STA,tripura,india,CON,TOTAL,1317885,2341819516.215885
2020,3,STA,lakshadweep,india,CON,TOTAL,8589,21306833.30865682
2020,3,STA,manipur,india,CON,TOTAL,1420168,4615976120.870485
2020,3,STA,maharashtra,india,CON,TOTAL,268310924,440307079012.4761
2020,3,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,1138312,1749789114.9993591
2020,3,STA,meghalaya,india,CON,TOTAL,597579,1237059001.3830361
2020,3,STA,andaman & nicobar islands,india,CON,TOTAL,117483,338019446.3303601
2020,3,STA,haryana,india,CON,TOTAL,57938179,109567950445.72871
2020,3,STA,rajasthan,india,CON,TOTAL,149088676,293678306162.4698
2020,3,STA,ladakh,india,CON,TOTAL,228222,835487500.0581931
